chrom	start	end	target_gene	tss_start	tss_end	gene_length	brain_hippocampus	exp	rel_entropy	hk	lof_intol	loeuf	essential	enh_num	enh_rel_entropy	tisspec_enh	enh_length	phastcons_overlap	frac_tisspec_enh	frac_phastcons
chr1	2985731	3355185	ENSG00000142611	2985730	2985731	369454	0.8	0	0.10089598538888576	0.0	1.0	0.187	0.0	92.0	0.5773807753929371	37.0	42191.0	2837.0	0.40217391304347827	0.06724182882605295
chr1	8377885	8404227	ENSG00000162426	8377884	8377885	26342	2.8	1	0.11791702662118138	0.0	0.0	0.745	0.0	82.0	0.3703235182230016	19.0	41834.0	4937.0	0.23170731707317074	0.11801405555289955
chr1	8412456	8877702	ENSG00000142599	8412455	8412456	465246	16.2	1	0.05904072753930298	0.0	1.0	0.12	0.0	82.0	0.3703235182230016	19.0	41834.0	4937.0	0.23170731707317074	0.11801405555289955
chr1	8921060	8939308	ENSG00000074800	8921059	8921060	18248	344.3	1	0.01458383680138749	0.0	0.0	0.864	1.0	40.0	0.6031461811001855	19.0	17938.0	2738.0	0.475	0.1526368602965771
chr1	9294833	9331396	ENSG00000049239	9294832	9294833	36563	3.6	1	0.11535779670473015	0.0	0.0	0.941	0.0	71.0	0.5391116233908609	26.0	34661.0	2732.0	0.36619718309859156	0.07882057644037968
chr1	9352938	9429591	ENSG00000171621	9352937	9352938	76653	5.4	1	0.08178002888575657	0.0	0.0	0.594	0.0	71.0	0.5391116233908609	26.0	34661.0	2732.0	0.36619718309859156	0.07882057644037968
chr1	9982172	10003465	ENSG00000162441	9982171	9982172	21293	11.3	1	0.01610787477627696	0.0	0.0	1.14	0.0	42.0	0.7582907681963194	29.0	20720.0	1046.0	0.6904761904761905	0.050482625482625484
chr1	10003485	10045559	ENSG00000173614	10003484	10003485	42074	2.5	1	0.03954068247985031	0.0	0.0	0.877	0.0	42.0	0.7582907681963194	29.0	20720.0	1046.0	0.6904761904761905	0.050482625482625484
chr1	10057263	10076078	ENSG00000162444	10057262	10057263	18815	15.3	1	0.18797226467066155	0.0	0.0	0.732	0.0	42.0	0.7582907681963194	29.0	20720.0	1046.0	0.6904761904761905	0.050482625482625484
chr1	10092889	10241297	ENSG00000130939	10092888	10092889	148408	5.8	1	0.05707837884751232	1.0	1.0	0.157	0.0	99.0	0.7076038522677585	60.0	47781.0	4876.0	0.6060606060606061	0.10204893158368389
chr1	10270862	10441661	ENSG00000054523	10270861	10270862	170799	39.0	1	0.2099452749424318	0.0	1.0	0.171	0.0	100.0	0.7285331376744192	64.0	48452.0	5269.0	0.64	0.10874680095764881
chr1	16174358	16266955	ENSG00000065526	16174357	16174358	92597	6.3	1	0.01544478707074131	1.0	1.0	0.071	0.0	42.0	0.6340800290293889	21.0	16819.0	6002.0	0.5	0.3568583150008918
chr1	16268363	16302627	ENSG00000116809	16268362	16268363	34264	14.3	1	0.007685736075891235	1.0	1.0	0.309	1.0	42.0	0.634080029029389	21.0	16819.0	6002.0	0.5	0.3568583150008918
chr1	19923476	19956314	ENSG00000173436	19923475	19923476	32838	6.3	1	0.04258459524331211	1.0	0.0	0.584	0.0	42.0	0.3054511087949193	4.0	21744.0	1578.0	0.09523809523809523	0.07257174392935982
chr1	19967047	19984945	ENSG00000158747	19967046	19967047	17898	75.6	1	0.14015894486695946	0.0	0.0	1.023	0.0	42.0	0.3054511087949193	4.0	21744.0	1578.0	0.09523809523809523	0.07257174392935982
chr1	20301924	20306932	ENSG00000188257	20301923	20301924	5008	0.0	0	0.2948839395651715	0.0	0.0	1.292	0.0	14.0	0.7693691121053032	10.0	6106.0	899.0	0.7142857142857143	0.14723223059285948
chr1	20354671	20417683	ENSG00000127472	20354670	20354671	63012	4.6	1	0.32799373176247504	0.0	0.0	1.57	0.0	14.0	0.7693691121053032	10.0	6106.0	899.0	0.7142857142857143	0.14723223059285948
chr1	20438431	20446050	ENSG00000117215	20438430	20438431	7619	0.0	0	0.3874819248405741	0.0	0.0	1.786	0.0	14.0	0.7693691121053032	10.0	6106.0	899.0	0.7142857142857143	0.14723223059285948
chr1	20487745	20503917	ENSG00000187980	20487744	20487745	16172	0.0	0	0.6535360832378236	0.0	0.0	1.218	0.0	14.0	0.7693691121053032	10.0	6106.0	899.0	0.7142857142857143	0.14723223059285948
chr1	20512577	20522541	ENSG00000162543	20512576	20512577	9964	1.4	1	0.10840065994933924	0.0	0.0	1.129	0.0	14.0	0.7693691121053032	10.0	6106.0	899.0	0.7142857142857143	0.14723223059285948
chr1	22004790	22110099	ENSG00000090686	22004789	22004790	105309	11.8	1	0.008088395921633915	0.0	1.0	0.161	0.0	17.0	0.653639169466626	11.0	7577.0	749.0	0.6470588235294118	0.0988517883067177
chr1	22778343	22857650	ENSG00000184677	22778342	22778343	79307	2.5	1	0.03206979594785059	0.0	0.0	0.693	0.0	11.0	0.811584261340527	8.0	5012.0	436.0	0.7272727272727273	0.08699122106943336
chr1	22890056	22930087	ENSG00000070886	22890055	22890056	40031	0.1	0	0.4629935137784575	0.0	0.0	0.712	0.0	11.0	0.811584261340527	8.0	5012.0	436.0	0.7272727272727273	0.08699122106943336
chr1	22962998	22966101	ENSG00000173372	22962997	22962998	3103	29.5	1	0.281836438529712	0.0	0.0	1.153	0.0	11.0	0.811584261340527	8.0	5012.0	436.0	0.7272727272727273	0.08699122106943336
chr1	22970122	22974603	ENSG00000159189	22970121	22970122	4481	30.4	1	0.25615132396009915	0.0	0.0	1.094	0.0	11.0	0.811584261340527	8.0	5012.0	436.0	0.7272727272727273	0.08699122106943336
chr1	22979254	22988031	ENSG00000173369	22979253	22979254	8777	52.1	1	0.2705976153790671	0.0	0.0	1.044	0.0	11.0	0.811584261340527	8.0	5012.0	436.0	0.7272727272727273	0.08699122106943336
chr1	23410515	23504301	ENSG00000169641	23410514	23410515	93786	0.2	0	0.054323145428416084	0.0	0.0	0.402	0.0	13.0	0.37317838227915917	2.0	6302.0	1373.0	0.15384615384615385	0.21786734370041258
chr1	23516992	23521222	ENSG00000179546	23516991	23516992	4230	0.0	0	0.6535360832378236	0.0	0.0	1.296	0.0	13.0	0.37317838227915917	2.0	6302.0	1373.0	0.15384615384615385	0.21786734370041258
chr1	24480646	24514449	ENSG00000185436	24480645	24480646	33803	0.3	0	0.09427250551235962	0.0	0.0	0.763	0.0	12.0	0.6018607358349398	5.0	4304.0	428.0	0.4166666666666667	0.09944237918215613
chr1	24645811	24690972	ENSG00000158055	24645810	24645811	45161	0.2	0	0.8346636346178993	0.0	1.0	0.277	0.0	12.0	0.6018607358349398	5.0	4304.0	428.0	0.4166666666666667	0.09944237918215613
chr1	24683488	24743424	ENSG00000001460	24683487	24683488	59936	3.7	1	0.0572567126063331	0.0	0.0	1.339	0.0	12.0	0.6018607358349398	5.0	4304.0	428.0	0.4166666666666667	0.09944237918215613
chr1	24742283	24799466	ENSG00000001461	24742282	24742283	57183	28.0	1	0.11992147565712866	0.0	0.0	0.844	0.0	12.0	0.8131945659226965	9.0	3629.0	15.0	0.75	0.004133370074400662
chr1	24829386	24867530	ENSG00000117602	24829385	24829386	38144	1.3	1	0.07967952413474128	0.0	0.0	1.313	0.0	12.0	0.8131945659226965	9.0	3629.0	15.0	0.75	0.004133370074400662
chr1	25757387	25826700	ENSG00000204178	25757386	25757387	69313	4.1	1	0.060250611936855075	1.0	1.0	0.259	0.0	90.0	0.5957754754737044	44.0	43577.0	3450.0	0.4888888888888889	0.07917020446565849
chr1	25870070	25895377	ENSG00000157978	25870069	25870070	25307	9.6	1	0.09269333132337554	0.0	0.0	1.163	0.0	90.0	0.5957754754737044	44.0	43577.0	3450.0	0.4888888888888889	0.07917020446565849
chr1	25943958	26112698	ENSG00000117643	25943957	25943958	168740	7.3	1	0.04358991749474712	0.0	0.0	0.434	0.0	90.0	0.5957754754737044	44.0	43577.0	3450.0	0.4888888888888889	0.07917020446565849
chr1	26126666	26144713	ENSG00000162430	26126665	26126666	18047	18.1	1	0.01493164186679869	0.0	0.0	1.017	0.0	90.0	0.5957754754737044	44.0	43577.0	3450.0	0.4888888888888889	0.07917020446565849
chr1	26145130	26159432	ENSG00000117640	26145129	26145130	14302	31.5	1	0.047550316071094605	1.0	0.0	0.611	0.0	107.0	0.5643963584391606	48.0	51928.0	4420.0	0.4485981308411215	0.08511785549222
chr1	26158413	26185903	ENSG00000127423	26158412	26158413	27490	0.5	0	0.07404647056139721	0.0	0.0	1.579	0.0	20.0	0.43671654988648373	6.0	9615.0	1043.0	0.3	0.10847633905356215
chr1	26187700	26197744	ENSG00000182749	26187699	26187700	10044	3.4	1	0.10655391235971508	0.0	0.0	1.175	0.0	20.0	0.43671654988648373	6.0	9615.0	1043.0	0.3	0.10847633905356215
chr1	26210671	26233482	ENSG00000117632	26210670	26210671	22811	352.9	1	0.26550081104013146	0.0	0.0	0.944	0.0	20.0	0.43671654988648373	6.0	9615.0	1043.0	0.3	0.10847633905356215
chr1	26286257	26324648	ENSG00000158006	26286256	26286257	38391	2.0	1	0.11371882885611022	0.0	0.0	1.113	0.0	22.0	0.5895825278834	11.0	11558.0	1712.0	0.5	0.14812251254542308
chr1	26346374	26362955	ENSG00000158008	26346373	26346374	16581	11.0	1	0.3220681743865335	0.0	0.0	1.082	0.0	22.0	0.5895825278834	11.0	11558.0	1712.0	0.5	0.14812251254542308
chr1	26363742	26372624	ENSG00000158014	26363741	26363742	8882	0.0	0	0.8485205858290996	0.0	0.0	0.615	0.0	22.0	0.5895825278834	11.0	11558.0	1712.0	0.5	0.14812251254542308
chr1	26377794	26394927	ENSG00000158022	26377793	26377794	17133	0.2	0	0.8684081366076001	0.0	0.0	1.469	0.0	22.0	0.5895825278834	11.0	11558.0	1712.0	0.5	0.14812251254542308
chr1	26437663	26452034	ENSG00000175087	26437662	26437663	14371	2.0	1	0.02521019098345276	0.0	0.0	0.643	0.0	22.0	0.5895825278834	11.0	11558.0	1712.0	0.5	0.14812251254542308
chr1	26605666	26608007	ENSG00000142669	26605665	26605666	2341	78.6	1	0.03667100237670372	0.0	0.0	1.059	0.0	7.0	0.26822529824356783	0.0	3963.0	933.0	0.0	0.23542770628311885
chr1	26607818	26644854	ENSG00000158062	26607817	26607818	37036	19.6	1	0.0418219913578769	0.0	0.0	1.142	0.0	7.0	0.26822529824356783	0.0	3963.0	933.0	0.0	0.23542770628311885
chr1	26644447	26647014	ENSG00000169442	26644446	26644447	2567	3.2	1	0.2803848991164801	0.0	0.0	1.698	0.0	7.0	0.26822529824356783	0.0	3963.0	933.0	0.0	0.23542770628311885
chr1	26648349	26680621	ENSG00000176092	26648348	26648349	32272	0.0	0	0.4308660655052658	0.0	0.0	0.793	0.0	7.0	0.26822529824356783	0.0	3963.0	933.0	0.0	0.23542770628311885
chr1	26688124	26701013	ENSG00000176083	26688123	26688124	12889	0.1	0	0.22704187255411115	0.0	0.0	1.34	0.0	7.0	0.26822529824356783	0.0	3963.0	933.0	0.0	0.23542770628311885
chr1	27022523	27108595	ENSG00000117713	27022522	27022523	86072	6.4	1	0.011762782971970524	0.0	1.0	0.071	0.0	55.0	0.48327299450188715	18.0	23316.0	6600.0	0.32727272727272727	0.28306742151312403
chr1	27113962	27124889	ENSG00000060642	27113961	27113962	10927	3.9	1	0.03376156148995752	0.0	0.0	1.238	1.0	55.0	0.48327299450188715	18.0	23316.0	6600.0	0.32727272727272727	0.28306742151312403
chr1	27153200	27184093	ENSG00000204160	27153199	27153200	30893	9.2	1	0.026452579165281084	0.0	0.0	0.805	0.0	55.0	0.48327299450188715	18.0	23316.0	6600.0	0.32727272727272727	0.28306742151312403
chr1	27189632	27190947	ENSG00000175793	27189631	27189632	1315	4.8	1	0.2560276031223408	0.0	0.0	0.704	0.0	55.0	0.48327299450188715	18.0	23316.0	6600.0	0.32727272727272727	0.28306742151312403
chr1	27202623	27216788	ENSG00000142751	27202622	27202623	14165	5.2	1	0.013618532581453005	1.0	0.0	0.852	1.0	55.0	0.48327299450188715	18.0	23316.0	6600.0	0.32727272727272727	0.28306742151312403
chr1	27216978	27226957	ENSG00000198746	27216977	27216978	9979	5.2	1	0.020948426384769386	0.0	0.0	1.263	0.0	55.0	0.48327299450188715	18.0	23316.0	6600.0	0.32727272727272727	0.28306742151312403
chr1	27425305	27493472	ENSG00000090020	27425304	27425305	68167	2.8	1	0.020130754633868427	0.0	0.0	0.375	0.0	23.0	0.4158051821920649	6.0	12234.0	2114.0	0.2608695652173913	0.17279712277260095
chr1	27561006	27635110	ENSG00000142784	27561005	27561006	74104	15.1	1	0.03716457018669965	1.0	1.0	0.23	0.0	23.0	0.4158051821920649	6.0	12234.0	2114.0	0.2608695652173913	0.17279712277260095
chr1	27648650	27662891	ENSG00000186501	27648649	27648650	14241	30.0	1	0.01774962179850806	1.0	0.0	1.485	0.0	60.0	0.5691958417096317	23.0	25604.0	7839.0	0.38333333333333336	0.3061630995157007
chr1	27668512	27680421	ENSG00000142765	27668511	27668512	11909	1.2	1	0.3116163421981336	0.0	0.0	1.056	0.0	60.0	0.5691958417096317	23.0	25604.0	7839.0	0.38333333333333336	0.3061630995157007
chr1	27681674	27693383	ENSG00000142733	27681673	27681674	11709	5.4	1	0.07259629287238857	0.0	0.0	0.768	0.0	60.0	0.5691958417096317	23.0	25604.0	7839.0	0.38333333333333336	0.3061630995157007
chr1	27695602	27701315	ENSG00000142748	27695601	27695602	5713	0.5	0	0.4659250799746126	0.0	0.0	0.896	0.0	60.0	0.5691958417096317	23.0	25604.0	7839.0	0.38333333333333336	0.3061630995157007
chr1	27705665	27709870	ENSG00000174950	27705664	27705665	4205	0.5	0	0.4386196078742469	0.0	0.0	1.575	0.0	60.0	0.5691958417096317	23.0	25604.0	7839.0	0.38333333333333336	0.3061630995157007
chr1	27719147	27722318	ENSG00000181773	27719146	27719147	3171	1.9	1	0.18541162720396973	0.0	0.0	1.543	0.0	60.0	0.5691958417096317	23.0	25604.0	7839.0	0.38333333333333336	0.3061630995157007
